<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HPW,20210827,17,17,16.1,16.1,5000
HRT,20210827,6,6,5.5,5.5,5800
HSI,20210827,2,2,1.8,1.9,49300
HSM,20210827,9.9,10.1,9.9,10.1,3700
HSV,20210827,15.1,15.2,13.9,14.5,119100
HTE,20210827,5.1,5.1,5.1,5.1,4100
HTG,20210827,20.4,20.8,20.3,20.8,24700
HTH,20210827,25.4,25.4,25.4,25.4,200
HTM,20210827,22,23,22,22.5,7300
HTT,20210827,1.6,1.6,1.5,1.6,175400
HU4,20210827,15,15.4,14.9,15.4,43400
HU6,20210827,7.5,7.5,7.5,7.5,100
HUG,20210827,30.5,30.5,30.1,30.1,1100
HVA,20210827,5.2,5.5,5.1,5.5,6600
HVG,20210827,2.1,2.2,2,2.2,2834449
HWS,20210827,11.8,11.9,11.7,11.7,2900
ICF,20210827,2.1,2.1,1.9,2,69430
ICI,20210827,5.2,5.2,4.8,4.9,600
ICN,20210827,56,56,56,56,1000
IFS,20210827,23,23.5,23,23.5,3200
ILA,20210827,5.1,5.1,5,5.1,25500
ILC,20210827,5.8,6.5,5.8,6.5,1260
IPA,20210827,59.2,59.2,57.6,58.5,107200
IST,20210827,29,29,29,29,500
ITS,20210827,4.5,4.7,4.4,4.5,50100
JOS,20210827,1.5,1.6,1.5,1.5,7100
KAC,20210827,8.9,8.9,8.9,8.9,500
KCB,20210827,8,9.1,8,9.1,2000
KHA,20210827,26.5,26.5,26.5,26.5,200
KHB,20210827,2.1,2.2,2.1,2.2,228822
KHD,20210827,9.3,9.3,9.3,9.3,400
KHL,20210827,1.1,1.1,1,1.1,169200
KIP,20210827,10.5,10.5,10,10.5,100
KLB,20210827,21.6,21.8,21.1,21.8,30310
KSH,20210827,2.4,2.4,2.3,2.4,1782160
KSK,20210827,0.6,0.7,0.6,0.7,435700
KSV,20210827,35,36.5,35,36.5,9000
KTC,20210827,10.3,11.6,10.3,10.4,400
L12,20210827,6.5,6.5,6.5,6.5,34
L44,20210827,1,1,0.8,1,16100
L45,20210827,3.4,3.4,3.4,3.4,5002
LAI,20210827,24,24,24,24,2900
LIC,20210827,7.5,7.5,7.5,7.5,1000
LKW,20210827,33.3,33.3,33.3,33.3,100
LLM,20210827,12.7,12.7,12.7,12.7,200
LM3,20210827,1.3,1.3,1.3,1.3,12400
LMC,20210827,13,13,13,13,100
LMH,20210827,7.5,8.9,6.7,8.9,10906446
LO5,20210827,1.3,1.4,1.3,1.4,1100
